Zotero Key,DOI,Title,Year,Authors
MR26WGFM,,A-MemGuard: a proactive defense framework for LLM-based agent memory,2025,"Wei, Qianshan; Yang, Tengchao; Wang, Yaochen; Li, Xinfeng; Li, Lijun; Yin, Zhenfei; Zhan, Yi; Holz, Thorsten; Lin, Zhiqiang; Wang, XiaoFeng"
5F38Q353,,LLMpatronous: harnessing the power of LLMs for vulnerability detection,2025,"Yarra, Rajesh"
Q6AV5XR2,,InjectLab: a tactical framework for adversarial threat modeling against large language models,2025,"Howard, Austin"
8B4ZAER2,,Secret breach detection in source code with large language models,2025,"Rahman, Md Nafiu; Ahmed, Sadif; Wahab, Zahin; Sohan, S M; Shahriyar, Rifat"
FPSVW7R4,,AdaptiveGuard: towards adaptive runtime safety for LLM-powered software,2025,"Yang, Rui; Fu, Michael; Tantithamthavorn, Chakkrit; Arora, Chetan; Gulmammadova, Gunel; Chua, Joey"
XPFJIIXB,10.1109/IPCCC66453.2025.11304694,ALPHA: LLM-enabled active learning for human-free network anomaly detection,2025,"Luo, Xuanhao; Jha, Shivesh Madan Nath; Sinha, Akruti; Li, Zhizhen; Liu, Yuchen"
W8EVZK2G,,Blockchain large language models,2023,"Gai, Yu; Zhou, Liyi; Qin, Kaihua; Song, Dawn; Gervais, Arthur"
CCEG7VB4,,Hijacking large language models via adversarial In-context learning,2023,"Zhou, Xiangyu; Qiang, Yao; Zade, Saleh Zare; Khanduri, Prashant; Zhu, Dongxiao"
DBW42NB6,,Detection and defense against prominent attacks on preconditioned LLM-integrated virtual assistants,2024,"Chan, Chun Fai; Yip, Daniel Wankit; Esmradi, Aysan"
96GFNRKI,,Prompted contextual vectors for spear-phishing detection,2024,"Nahmias, Daniel; Engelberg, Gal; Klein, Dan; Shabtai, Asaf"
